Taxa,Realm,Biome,N,N Traded,N Pet-Traded (%),N Product-Traded (%)
Bird,Afrotropical,Montane Grasslands & Shrublands,1356,656,604 (44.54),310 (22.86)
Bird,Afrotropical,Tropical & Subtropical Dry Broadleaf Forests,412,240,231 (56.07),127 (30.83)
Bird,Afrotropical,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1747,784,707 (40.47),377 (21.58)
Bird,Afrotropical,Tropical & Subtropical Moist Broadleaf Forests,1586,718,656 (41.36),338 (21.31)
Bird,Australian,Deserts & Xeric Shrublands,375,257,239 (63.73),125 (33.33)
Bird,Australian,"Mediterranean Forests, Woodlands & Scrub",389,263,243 (62.47),133 (34.19)
Bird,Australian,Montane Grasslands & Shrublands,339,229,213 (62.83),121 (35.69)
Bird,Australian,Temperate Broadleaf & Mixed Forests,554,364,329 (59.39),201 (36.28)
Bird,Australian,"Temperate Grasslands, Savannas & Shrublands",459,305,285 (62.09),160 (34.86)
Bird,Australian,"Tropical & Subtropical Grasslands, Savannas & Shrublands",523,333,319 (60.99),153 (29.25)
Bird,Australian,Tropical & Subtropical Moist Broadleaf Forests,403,265,246 (61.04),128 (31.76)
Bird,Madagascan,Deserts & Xeric Shrublands,172,100,82 (47.67),75 (43.60)
Bird,Madagascan,Tropical & Subtropical Dry Broadleaf Forests,179,106,84 (46.93),78 (43.58)
Bird,Madagascan,Tropical & Subtropical Moist Broadleaf Forests,193,104,84 (43.52),77 (39.90)
Bird,Nearctic,Boreal Forests/Taiga,381,260,237 (62.20),169 (44.36)
Bird,Nearctic,Deserts & Xeric Shrublands,748,415,376 (50.27),206 (27.54)
Bird,Nearctic,Flooded Grasslands & Savannas,191,136,128 (67.02),69 (36.13)
Bird,Nearctic,Mangroves,225,134,119 (52.89),64 (28.44)
Bird,Nearctic,"Mediterranean Forests, Woodlands & Scrub",312,193,178 (57.05),103 (33.01)
Bird,Nearctic,Temperate Broadleaf & Mixed Forests,469,306,289 (61.62),173 (36.89)
Bird,Nearctic,Temperate Conifer Forests,591,364,330 (55.84),205 (34.69)
Bird,Nearctic,"Temperate Grasslands, Savannas & Shrublands",480,291,280 (58.33),153 (31.88)
Bird,Nearctic,Tropical & Subtropical Coniferous Forests,614,328,296 (48.21),150 (24.43)
Bird,Nearctic,Tropical & Subtropical Dry Broadleaf Forests,689,361,316 (45.86),166 (24.09)
Bird,Nearctic,"Tropical & Subtropical Grasslands, Savannas & Shrublands",319,208,197 (61.76),91 (28.53)
Bird,Nearctic,Tropical & Subtropical Moist Broadleaf Forests,574,298,274 (47.74),131 (22.82)
Bird,Nearctic,Tundra,282,198,175 (62.06),139 (49.29)
Bird,Neotropical,Deserts & Xeric Shrublands,1378,650,573 (41.58),315 (22.86)
Bird,Neotropical,Flooded Grasslands & Savannas,897,430,396 (44.15),214 (23.86)
Bird,Neotropical,Mangroves,1444,646,573 (39.68),317 (21.95)
Bird,Neotropical,"Mediterranean Forests, Woodlands & Scrub",212,105,89 (41.98),68 (32.08)
Bird,Neotropical,Montane Grasslands & Shrublands,1779,723,636 (35.75),323 (18.16)
Bird,Neotropical,Temperate Broadleaf & Mixed Forests,248,113,92 (37.10),75 (30.24)
Bird,Neotropical,"Temperate Grasslands, Savannas & Shrublands",554,262,229 (41.34),144 (25.99)
Bird,Neotropical,Tropical & Subtropical Dry Broadleaf Forests,2012,851,746 (37.08),394 (19.58)
Bird,Neotropical,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1982,812,719 (36.28),392 (19.78)
Bird,Neotropical,Tropical & Subtropical Moist Broadleaf Forests,2950,1140,976 (33.08),519 (17.59)
Bird,Oceanina,Mangroves,259,132,124 (47.88),59 (22.78)
Bird,Oceanina,Montane Grasslands & Shrublands,366,159,144 (39.34),70 (19.13)
Bird,Oceanina,Tropical & Subtropical Dry Broadleaf Forests,146,90,65 (44.52),64 (43.84)
Bird,Oceanina,"Tropical & Subtropical Grasslands, Savannas & Shrublands",270,164,156 (57.78),69 (25.56)
Bird,Oceanina,Tropical & Subtropical Moist Broadleaf Forests,856,427,362 (42.29),222 (25.93)
Bird,Oriental,Deserts & Xeric Shrublands,633,435,399 (63.03),316 (49.92)
Bird,Oriental,Mangroves,659,463,435 (66.01),286 (43.40)
Bird,Oriental,Montane Grasslands & Shrublands,527,336,321 (60.91),200 (37.95)
Bird,Oriental,Temperate Broadleaf & Mixed Forests,822,520,492 (59.85),337 (41.00)
Bird,Oriental,Temperate Conifer Forests,762,494,472 (61.94),315 (41.34)
Bird,Oriental,Tropical & Subtropical Coniferous Forests,985,605,566 (57.46),383 (38.88)
Bird,Oriental,Tropical & Subtropical Dry Broadleaf Forests,1023,639,589 (57.58),379 (37.05)
Bird,Oriental,"Tropical & Subtropical Grasslands, Savannas & Shrublands",572,401,383 (66.96),265 (46.33)
Bird,Oriental,Tropical & Subtropical Moist Broadleaf Forests,1950,1083,991 (50.82),582 (29.85)
Bird,Palearctic,Boreal Forests/Taiga,627,479,412 (65.71),390 (62.20)
Bird,Palearctic,Deserts & Xeric Shrublands,581,389,331 (56.97),322 (55.42)
Bird,Palearctic,Flooded Grasslands & Savannas,291,233,214 (73.54),196 (67.35)
Bird,Palearctic,"Mediterranean Forests, Woodlands & Scrub",369,290,235 (63.69),264 (71.54)
Bird,Palearctic,Montane Grasslands & Shrublands,655,435,383 (58.47),343 (52.37)
Bird,Palearctic,Temperate Broadleaf & Mixed Forests,846,586,492 (58.16),478 (56.50)
Bird,Palearctic,Temperate Conifer Forests,697,484,409 (58.68),401 (57.53)
Bird,Palearctic,"Temperate Grasslands, Savannas & Shrublands",612,435,367 (59.97),367 (59.97)
Bird,Palearctic,Tundra,497,390,330 (66.40),321 (64.59)
Bird,Panamanian,Deserts & Xeric Shrublands,475,237,217 (45.68),96 (20.21)
Bird,Panamanian,Mangroves,558,296,263 (47.13),153 (27.42)
Bird,Panamanian,Montane Grasslands & Shrublands,653,322,289 (44.26),144 (22.05)
Bird,Panamanian,Tropical & Subtropical Coniferous Forests,900,449,381 (42.33),225 (25.00)
Bird,Panamanian,Tropical & Subtropical Dry Broadleaf Forests,1396,659,566 (40.54),313 (22.42)
